"name","Group.Topic","Code_Display","Description","Usage","Comment","ICASA_standard"
"MG","Fertilizers","FEOCD, FEOCD_TOT","Magnesium",NA,NA,1
"MN","Fertilizers","FEOCD, FEOCD_TOT","Manganese",NA,NA,1
"CA","Fertilizers","FEOCD, FEOCD_TOT","Calcium",NA,NA,1
"CD","Fertilizers","FEOCD, FEOCD_TOT","Cadmium",NA,NA,1
"ZN","Fertilizers","FEOCD, FEOCD_TOT","Zinc",NA,NA,1
"S","Fertilizers","FEOCD, FEOCD_TOT","Sulfur",NA,NA,1
"FE","Fertilizers","FEOCD, FEOCD_TOT","Iron",NA,NA,1
"SE","Fertilizers","FEOCD, FEOCD_TOT","Selenium",NA,NA,1
"B","Fertilizers","FEOCD, FEOCD_TOT","Boron",NA,NA,NA
"FE001","Fertilizers","FECD, FE_CD","Ammonium nitrate",NA,NA,1
"FE002","Fertilizers","FECD, FE_CD","Ammonium sulfate",NA,NA,1
"FE003","Fertilizers","FECD, FE_CD","Ammonium nitrate sulfate",NA,NA,1
"FE004","Fertilizers","FECD, FE_CD","Anhydrous ammonia",NA,NA,1
"FE005","Fertilizers","FECD, FE_CD","Urea",NA,NA,1
"FE006","Fertilizers","FECD, FE_CD","Diammonium phosphate (DAP)",NA,NA,1
"FE007","Fertilizers","FECD, FE_CD","Monoammonium phosphate (MAP)",NA,NA,1
"FE008","Fertilizers","FECD, FE_CD","Calcium nitrate",NA,NA,1
"FE009","Fertilizers","FECD, FE_CD","Aqua ammonia",NA,NA,1
"FE010","Fertilizers","FECD, FE_CD","Urea ammonium nitrate",NA,NA,1
"FE011","Fertilizers","FECD, FE_CD","Calcium ammonium nitrate",NA,NA,1
"FE012","Fertilizers","FECD, FE_CD","Ammonium poly-phosphate",NA,NA,1
"FE013","Fertilizers","FECD, FE_CD","Single super phosphate",NA,NA,1
"FE014","Fertilizers","FECD, FE_CD","Triple super phosphate (TSP)",NA,NA,1
"FE015","Fertilizers","FECD, FE_CD","Liquid phosphoric acid",NA,NA,1
"FE016","Fertilizers","FECD, FE_CD","Potassium chloride (muriate of potash, MOP)",NA,NA,1
"FE017","Fertilizers","FECD, FE_CD","Potassium nitrate (nitrate of potash)",NA,NA,1
"FE018","Fertilizers","FECD, FE_CD","Potassium sulfate",NA,NA,1
"FE019","Fertilizers","FECD, FE_CD","Urea super granules",NA,NA,1
"FE020","Fertilizers","FECD, FE_CD","Dolomitic limestone",NA,NA,1
"FE021","Fertilizers","FECD, FE_CD","Rock phosphate",NA,NA,1
"FE022","Fertilizers","FECD, FE_CD","Calcitic limestone",NA,NA,1
"FE023","Fertilizers","FECD, FE_CD","Urea ammonium sulfate",NA,NA,1
"FE024","Fertilizers","FECD, FE_CD","Rhizobium",NA,NA,1
"FE026","Fertilizers","FECD, FE_CD","Calcium hydroxide (hydrated lime)",NA,NA,1
"FE027","Fertilizers","FECD, FE_CD","NPK - ammonium nitrate",NA,"2020-06-25, chp",3
"FE028","Fertilizers","FECD, FE_CD","NPK - urea",NA,"2020-06-25, chp",3
"FE029","Fertilizers","FECD, FE_CD","NPK - ammonium nitrate urea",NA,"2020-06-25, chp",3
"FE030","Fertilizers","FECD, FE_CD","NPK - user blend",NA,"2020-06-25, chp",3
"FE036","Fertilizers","FECD, FE_CD","32% UAN (35% urea + 45% A.N.)",NA,"2020-06-25, chp",3
"FE037","Fertilizers","FECD, FE_CD","30% UAN (33% urea + 42% A.N.)",NA,"2020-06-25, chp",3
"FE038","Fertilizers","FECD, FE_CD","28% UAN (30% urea + 40% A.N.)",NA,"2020-06-25, chp",3
"FE039","Fertilizers","FECD, FE_CD","21% AN (60% A.N. + 40% water)",NA,"2020-06-25, chp",3
"FE040","Fertilizers","FECD, FE_CD","19% AN (54% A.N. + 46% water)",NA,"2020-06-25, chp",3
"FE041","Fertilizers","FECD, FE_CD","Ammonium nitrate limestone",NA,"2020-06-25, chp",3
"FE042","Fertilizers","FECD, FE_CD","Ammonionated super phosphate",NA,"2020-06-25, chp",3
"FE043","Fertilizers","FECD, FE_CD","Ammonium phosphate nitrate",NA,"2020-06-25, chp",3
"FE044","Fertilizers","FECD, FE_CD","Ammonium phosphate sulfate",NA,"2020-06-25, chp",3
"FE045","Fertilizers","FECD, FE_CD","Urea ammonium phosphate",NA,"2020-06-25, chp",3
"FE046","Fertilizers","FECD, FE_CD","Urea phosphate",NA,"2020-06-25, chp",3
"FE050","Fertilizers","FECD, FE_CD","Calcium cyanamide",NA,"2020-06-25, chp",3
"FE051","Fertilizers","FECD, FE_CD","Calcium nitrate-urea",NA,"2020-06-25, chp",3
"FE055","Fertilizers","FECD, FE_CD","Sodium nitrate",NA,"2020-06-25, chp",3
"FE056","Fertilizers","FECD, FE_CD","Magnesium nitrate",NA,"2020-06-25, chp",3
"FE057","Fertilizers","FECD, FE_CD","Ammonium thiosulfate** (60% solution)",NA,"2020-06-25, chp",3
"FE058","Fertilizers","FECD, FE_CD","Ammonium polysulfide",NA,"2020-06-25, chp",3
"FE059","Fertilizers","FECD, FE_CD","Ammonium sulfate solution",NA,"2020-06-25, chp",3
"FE060","Fertilizers","FECD, FE_CD","Ammonium sulfate - nitrate",NA,"2020-06-25, chp",3
"FE061","Fertilizers","FECD, FE_CD","Ferrous ammonium sulfate",NA,"2020-06-25, chp",3
"FE062","Fertilizers","FECD, FE_CD","Liquid ammonium polyphosphate",NA,"2020-06-25, chp",3
"FE063","Fertilizers","FECD, FE_CD","Nitric phosphate",NA,"2020-06-25, chp",3
"FE064","Fertilizers","FECD, FE_CD","Nitric acid",NA,"2020-06-25, chp",3
"FE065","Fertilizers","FECD, FE_CD","Urea solution",NA,"2020-06-25, chp",3
"FE066","Fertilizers","FECD, FE_CD","Zinc ammonium sulfate solution",NA,"2020-06-25, chp",3
"FE067","Fertilizers","FECD, FE_CD","Zinc manganese ammonium sulfate",NA,"2020-06-25, chp",3
"FE068","Fertilizers","FECD, FE_CD","Ammonium metaphosphate",NA,"2020-06-25, chp",3
"FE069","Fertilizers","FECD, FE_CD","Ammonium phosphate",NA,"2020-06-25, chp",3
"FE070","Fertilizers","FECD, FE_CD","Potassium - sodium nitrate",NA,"2020-06-25, chp",3
"FE201","Fertilizers","FECD, FE_CD","ESN",NA,"2020-06-25, chp",3
"FE202","Fertilizers","FECD, FE_CD","NBTPT",NA,"2020-06-25, chp",3
"FE203","Fertilizers","FECD, FE_CD","DCD (dicyandiamide)",NA,"2020-06-25, chp",3
"FE204","Fertilizers","FECD, FE_CD","SuperU",NA,"2020-06-25, chp",3
"FE205","Fertilizers","FECD, FE_CD","DMPP (3,4-Dimethylpyrazole phosphate)",NA,"2020-06-25, chp",3
"FE206","Fertilizers","FECD, FE_CD","Sulfur coated urea (thin coat)",NA,"2020-06-25, chp",3
"FE207","Fertilizers","FECD, FE_CD","Sulfur coated urea (thick coat)",NA,"2020-06-25, chp",3
"FE208","Fertilizers","FECD, FE_CD","ESN + NBTPT",NA,"2020-06-25, chp",3
