"name","Group.Topic","Code_Display","Description","Usage","Comment","ICASA_standard"
"RE001","residues_or_organic_materials","OMCD","Generic crop residue",NA,NA,1
"RE002","residues_or_organic_materials","OMCD","Green manure",NA,NA,1
"RE003","residues_or_organic_materials","OMCD","Barnyard manure",NA,NA,1
"RE004","residues_or_organic_materials","OMCD","Liquid manure",NA,NA,1
"RE005","residues_or_organic_materials","OMCD","Compost",NA,NA,1
"RE006","residues_or_organic_materials","OMCD","Bark",NA,NA,1
"RE101","residues_or_organic_materials","OMCD","Generic legume residue",NA,NA,1
"RE102","residues_or_organic_materials","OMCD","Cowpea residue",NA,NA,1
"RE103","residues_or_organic_materials","OMCD","Mucuna residue",NA,NA,1
"RE104","residues_or_organic_materials","OMCD","Peanut residue",NA,NA,1
"RE105","residues_or_organic_materials","OMCD","Pigeon Pea residue",NA,NA,1
"RE106","residues_or_organic_materials","OMCD","Soybean residue",NA,NA,1
"RE107","residues_or_organic_materials","OMCD","Alfalfa residue",NA,NA,1
"RE108","residues_or_organic_materials","OMCD","Chickpea forage",NA,NA,1
"RE109","residues_or_organic_materials","OMCD","Faba bean",NA,NA,1
"RE110","residues_or_organic_materials","OMCD","Pea residue",NA,NA,1
"RE111","residues_or_organic_materials","OMCD","Hairy vetch",NA,NA,1
"RE201","residues_or_organic_materials","OMCD","Generic cereal crop residue",NA,NA,1
"RE202","residues_or_organic_materials","OMCD","Pearl millet residue",NA,NA,1
"RE203","residues_or_organic_materials","OMCD","Maize residue",NA,NA,1
"RE204","residues_or_organic_materials","OMCD","Sorghum residue",NA,NA,1
"RE205","residues_or_organic_materials","OMCD","Wheat residue",NA,NA,1
"RE206","residues_or_organic_materials","OMCD","Barley",NA,NA,1
"RE207","residues_or_organic_materials","OMCD","Rice",NA,NA,1
"RE208","residues_or_organic_materials","OMCD","Rye",NA,NA,1
"RE301","residues_or_organic_materials","OMCD","Generic grass",NA,NA,1
"RE302","residues_or_organic_materials","OMCD","Bahiagrass",NA,NA,1
"RE303","residues_or_organic_materials","OMCD","Bermudagrass",NA,NA,1
"RE304","residues_or_organic_materials","OMCD","Switchgrass",NA,NA,1
"RE305","residues_or_organic_materials","OMCD","brachiaria",NA,NA,1
"RE306","residues_or_organic_materials","OMCD","forage grasses",NA,NA,1
"RE401","residues_or_organic_materials","OMCD","Bush fallow residue",NA,NA,1
"RE402","residues_or_organic_materials","OMCD","Sugarcane",NA,NA,1
"RE403","residues_or_organic_materials","OMCD","Pineapple",NA,NA,1
"RE999","residues_or_organic_materials","OMCD","Decomposed crop residue",NA,NA,1
