"name","Group.Topic","Code_Display","Description","Usage","Comment","ICASA_standard"
"TI001","tillage_implements","TIIMP","V-Ripper",NA,"One pass, Generic soil conditions",1
"TI002","tillage_implements","TIIMP","Subsoiler",NA,"One pass, Generic soil conditions",1
"TI003","tillage_implements","TIIMP","Moldboard plow 20 cm depth",NA,"One pass, Generic soil conditions",1
"TI004","tillage_implements","TIIMP","Chisel plow, sweeps",NA,"One pass, Generic soil conditions",1
"TI005","tillage_implements","TIIMP","Chisel plow, straight point",NA,"One pass, Generic soil conditions",1
"TI006","tillage_implements","TIIMP","Chisel plow, twisted shovels",NA,"One pass, Generic soil conditions",1
"TI007","tillage_implements","TIIMP","Disk plow",NA,"One pass, Generic soil conditions",1
"TI008","tillage_implements","TIIMP","Disk, 1-way",NA,"One pass, Generic soil conditions",1
"TI009","tillage_implements","TIIMP","Disk, tandem",NA,"One pass, Generic soil conditions",1
"TI010","tillage_implements","TIIMP","Disk, double disk",NA,"One pass, Generic soil conditions",1
"TI011","tillage_implements","TIIMP","Cultivator, field",NA,"One pass, Generic soil conditions",1
"TI012","tillage_implements","TIIMP","Cultivator, row",NA,"One pass, Generic soil conditions",1
"TI013","tillage_implements","TIIMP","Cultivator, ridge till",NA,"One pass, Generic soil conditions",1
"TI014","tillage_implements","TIIMP","Harrow, spike",NA,"One pass, Generic soil conditions",1
"TI015","tillage_implements","TIIMP","Harrow, tine",NA,"One pass, Generic soil conditions",1
"TI016","tillage_implements","TIIMP","Lister",NA,"One pass, Generic soil conditions",1
"TI017","tillage_implements","TIIMP","Bedder",NA,"One pass, Generic soil conditions",1
"TI018","tillage_implements","TIIMP","Blade cultivator",NA,"One pass, Generic soil conditions",1
"TI019","tillage_implements","TIIMP","Fertilizer applicator, anhydrous",NA,"One pass, Generic soil conditions",1
"TI020","tillage_implements","TIIMP","Manure injector",NA,"One pass, Generic soil conditions",1
"TI021","tillage_implements","TIIMP","Animal-drawn implement",NA,"One pass, Generic soil conditions",1
"TI022","tillage_implements","TIIMP","Mulch treader",NA,"One pass, Generic soil conditions",1
"TI023","tillage_implements","TIIMP","Plank",NA,"One pass, Generic soil conditions",1
"TI024","tillage_implements","TIIMP","Roller packer",NA,"One pass, Generic soil conditions",1
"TI025","tillage_implements","TIIMP","Drill, double-disk",NA,"Generic soil conditions",1
"TI026","tillage_implements","TIIMP","Drill, deep furrow",NA,"Generic soil conditions",1
"TI031","tillage_implements","TIIMP","Drill, no-till",NA,"Generic soil conditions",1
"TI032","tillage_implements","TIIMP","Drill, no-till [sod]",NA,"Into sod, generic soil conditions",1
"TI033","tillage_implements","TIIMP","Planter, row",NA,"Generic soil conditions",1
"TI034","tillage_implements","TIIMP","Planter, no-till",NA,"Generic soil conditions",1
"TI035","tillage_implements","TIIMP","Planting stick (hand)",NA,"Generic soil conditions",1
"TI036","tillage_implements","TIIMP","Matraca hand planter",NA,"Brazilian-style jab planter that meters seed",1
"TI037","tillage_implements","TIIMP","Rod weeder",NA,"Generic soil conditions",1
"TI038","tillage_implements","TIIMP","Rotary hoe",NA,"Generic soil conditions",1
"TI039","tillage_implements","TIIMP","Roller harrow, cultipacker",NA,"One pass, Generic soil conditions",1
"TI041","tillage_implements","TIIMP","Moldboard plow 25 cm",NA,"One pass, Generic soil conditions",1
"TI042","tillage_implements","TIIMP","Moldboard plow 30 cm",NA,"One pass, Generic soil conditions",1
"TI043","tillage_implements","TIIMP","Strip tillage",NA,"One pass, Generic soil conditions",1
"TI044","tillage_implements","TIIMP","Laser leveling",NA,"Effects vary spatially",1
