"name","type","unit","vocabulary","valid_min","valid_max","description","Code_Display","Code_Query","Variable_Order","Variable_Key","Unit_or_type","Data_type","Dataset","Subset","Group","SubGroup","Set_group_order","Version_or_questions","DSSAT_synon","DSSAT_group","DSSAT_order","var_uid"
"experiment_id","numeric","","","","","Experiment identifier used to link experiments across subsets, groups and subgroups","EID","EID",1,1,"text","single","EXPERIMENT","METADATA","GENERAL",NA,1011,NA,NA,NA,NA,1
"name_of_experiment","character","","","1","","Name of experiment","EXNAME","EXNAME",2,NA,"text","text","EXPERIMENT","METADATA","GENERAL",NA,1011,NA,NA,NA,NA,2
"exp_code_local","character","","","","","Locally used identifier for an experiment","LOCAL_ID","LOCAL_ID",3,NA,"text","text","EXPERIMENT","METADATA","GENERAL",NA,1011,NA,NA,NA,NA,3
"experiment_name_local","character","","","","","Locally used name for an experiment","LOCAL_NAME","LOCAL_NAME",4,NA,"text","text","EXPERIMENT","METADATA","GENERAL",NA,1011,NA,".",NA,NA,4
"objectives_of_study","character","","","","","Objectives of the study","OBJECTIVES","OBJECTIVES",5,NA,"text","memo","EXPERIMENT","METADATA","GENERAL",NA,1011,NA,".",NA,NA,5
"experiment_narrative","character","","","","","General description of experiment. Can include noteworthy events, findings, etc.","EXP_NARR","EXP_NARR",NA,NA,"text","memo","EXPERIMENT","METADATA","GENERAL",NA,1011,"2017-09-14, JWW",NA,NA,NA,6
"main_experiment_factor","character","","main_factor","","","Main factor, factors or interactions of interest in an experiment","MAIN_FACTOR","MAIN_FACTOR",6,NA,"text","text","EXPERIMENT","METADATA","GENERAL",NA,1011,NA,NA,NA,NA,7
"experimental_factor_comb","character","","","","","Experimental factor combinations","FACTORS","FACTORS",7,NA,"text","text","EXPERIMENT","METADATA","GENERAL",NA,1011,NA,".",NA,NA,8
"number_of_replicates","numeric","","","","","Number of blocks or replicates","REP_NO","REP_NO",8,NA,"number","integer","EXPERIMENT","METADATA","GENERAL",NA,1011,NA,NA,NA,NA,9
"number_of_treatments","numeric","","","","","Number of treatments","TRT_COUNT","TRT_COUNT",9,NA,"number","integer","EXPERIMENT","METADATA","GENERAL",NA,1011,"2023-03-22, CHP",NA,NA,NA,10
"method_notes","character","","","","","General notes on execution of experiment.","METHODS","METHODS",10,NA,"text","memo","EXPERIMENT","METADATA","GENERAL",NA,1011,NA,".",NA,NA,11
"experiment_type","character","","exper_type","","","General type of experiment, e.g., varietal trial","EXPER_TYPE","EXPER_TYPE",11,NA,"code","text","EXPERIMENT","METADATA","GENERAL",NA,1011,NA,NA,NA,NA,12
"experimental_design","character","","exper_design","","","Experimental design","EXPER_DESIGN","EXPER_DESIGN",12,NA,"text","text","EXPERIMENT","METADATA","GENERAL",NA,1011,NA,NA,NA,NA,13
"site_name","character","","","","","Name of site for experiment","SITE_NAME","SITE_NAME",13,NA,"text","text","EXPERIMENT","METADATA","GENERAL",NA,1011,NA,NA,NA,NA,14
"site_type","character","","site_type","","","Type of site, e.g., station, on-farm","SITE_TYPE","SITE_TYPE",14,NA,"code","text","EXPERIMENT","METADATA","GENERAL",NA,1011,NA,NA,NA,NA,15
"management_type","character","","mgmt_type","","","Whether managed by researchers, producers","MGMT_TYPE","MGMT_TYPE",15,NA,"code","text","EXPERIMENT","METADATA","GENERAL",NA,1011,NA,NA,NA,NA,16
"experiment_year","numeric","date[yyyy]","","","","Year associated with experiment or crop rotation","EXP_YEAR","EXP_YEAR",16,NA,"date[yyyy]","single","EXPERIMENT","METADATA","GENERAL",NA,1011,"2020-06-09, CHP",NA,NA,NA,17
"experiment_duration","numeric","year","","","","Duration of experiment in years","EXP_DUR","EXP_DUR",17,NA,"year","single","EXPERIMENT","METADATA","GENERAL",NA,1011,NA,NA,NA,NA,18
"exper_duration_seasons","numeric","","","","","Duration of experiment in seasons","EXP_DUR_SEAS","EXP_DUR_SEAS",18,NA,"number","single","EXPERIMENT","METADATA","GENERAL",NA,1011,"2020-12-03, CHP",NA,NA,NA,19
"anonymization","character","","","","","Indication of whether location should be anonymized (N= anonymize names, L = anonymize locations, NL or LN  = anonymize both names and location)","ANONYMIZ","ANONYMIZ",19,NA,"text","text","EXPERIMENT","METADATA","GENERAL",NA,1011,"2023-03-06, CHP",NA,NA,NA,20
