"name","type","unit","vocabulary","valid_min","valid_max","description","Code_Display","Code_Query","Variable_Order","Variable_Key","Unit_or_type","Data_type","Dataset","Subset","Group","SubGroup","Set_group_order","Version_or_questions","DSSAT_synon","DSSAT_group","DSSAT_order"
"soil_profile_methods","character","","","","","Description of methods used to obtain profile data","METHODS","METHODS",1,NA,"text","memo","SOILS","SOIL_METADATA","GENERAL",NA,4001,NA,NA,NA,NA
"soil_notes","character","","","","","Notes describing soil dataset","SL_NOTES","SL_NOTES",2,NA,"text","memo","SOILS","SOIL_METADATA","GENERAL",NA,4001,NA,".",NA,NA
"distrib_restrictions","character","","","","","Distribution limitations for the soils data set","SL_DISTRIB","SL_DISTRIB",3,NA,"text","memo","SOILS","SOIL_METADATA","GENERAL",NA,4001,"2013-02-14, CHP",".",NA,NA
"file_version_sl","character","","","","","File version for ICASA standard","VERSION_SL","VERSION_SL",4,NA,"text","text","SOILS","SOIL_METADATA","GENERAL",NA,4001,"2013-04-18, CHP",".",NA,NA
"revision_date_first_sl","character","date","","","","Date the file was first created","REV_DATE_FIRST_SL","REV_DATE_FIRST_SL",5,NA,"date","single","SOILS","SOIL_METADATA","GENERAL",NA,4001,"2013-04-18, CHP",".",NA,NA
"revision_date_latest_sl","character","date","","","","Date the file was last modified","REV_DATE_LATEST_SL","REV_DATE_LATEST_SL",6,NA,"date","single","SOILS","SOIL_METADATA","GENERAL",NA,4001,"2013-04-18, CHP",".",NA,NA
"revision_notes_sl","character","","","","","Notes describing reasons for the revision","REVISION_NOTES_SL","REVISION_NOTES_SL",7,NA,"text","memo","SOILS","SOIL_METADATA","GENERAL",NA,4001,"2013-04-18, CHP",".",NA,NA
"soil_citation","character","","","","","Full citation for soil data","SL_CITATION","SL_CITATION",8,NA,"text","text","SOILS","SOIL_METADATA","GENERAL",NA,4001,NA,NA,NA,NA
"soil_license","character","","","","","License associated with soil data","SL_LICENSE","SL_LICENSE",9,NA,"text","text","SOILS","SOIL_METADATA","GENERAL",NA,4001,NA,NA,NA,NA
"person_level",NA,"","","","","id","PP","PP",1,1,NA,NA,"SOILS","SOIL_METADATA","PERSONS",NA,4011,NA,NA,NA,NA
"researcher_last_name","character","","","","","Last name of researchers involved with the experiment(s) or data","LAST_NAME","LAST_NAME",2,NA,"text","text","SOILS","SOIL_METADATA","PERSONS",NA,4011,NA,".",NA,NA
"researcher_first_name","character","","","","","First name of researchers involved with the experiment(s) or data","FIRST_NAME","FIRST_NAME",3,NA,"text","text","SOILS","SOIL_METADATA","PERSONS",NA,4011,NA,NA,NA,NA
