"name","type","unit","vocabulary","valid_min","valid_max","description","Code_Display","Code_Query","Variable_Order","Variable_Key","Unit_or_type","Data_type","Dataset","Subset","Group","SubGroup","Set_group_order","Version_or_questions","DSSAT_synon","DSSAT_group","DSSAT_order"
"weather_file","character","","","","","Weather dataset containing relevant data","WST_DATASET","WST_DATASET",1,NA,"text","text","WEATHER","WEATHER_METADATA","GENERAL",NA,5001,NA,NA,NA,NA
"weather_notes","character","","","","","General notes on the weather dataset","WST_NOTES","WST_NOTES",2,NA,"text","memo","WEATHER","WEATHER_METADATA","GENERAL",NA,5001,NA,".",NA,NA
"distrib_restrictions_wst","character","","","","","Distribution limitations for the weather data set","WST_DISTRIB","WST_DISTRIB",3,NA,"text","memo","WEATHER","WEATHER_METADATA","GENERAL",NA,5001,"2013-02-14, 2013-04-18, CHP",".",NA,NA
"file_version_wst","character","","","","","File version for ICASA standard","VERSION_WST","VERSION_WST",4,NA,"text","text","WEATHER","WEATHER_METADATA","GENERAL",NA,5001,"2013-04-18, CHP",".",NA,NA
"revision_date_first_wst","character","date","","","","Date the file was first created","REV_DATE_FIRST_WST","REV_DATE_FIRST_WST",5,NA,"date",NA,"WEATHER","WEATHER_METADATA","GENERAL",NA,5001,"2013-04-18, CHP",".",NA,NA
"revision_date_latest_wst","character","date","","","","Date the file was last modified","REV_DATE_LATEST_WST","REV_DATE_LATEST_WST",6,NA,"date",NA,"WEATHER","WEATHER_METADATA","GENERAL",NA,5001,"2013-04-18, CHP",".",NA,NA
"revision_notes_wst","character","","","","","Notes describing reasons for the revision","REVISION_NOTES_WST","REVISION_NOTES_WST",7,NA,"text","memo","WEATHER","WEATHER_METADATA","GENERAL",NA,5001,"2013-04-18, CHP",".",NA,NA
"weather_citation","character","","","","","Full citation for weather data","wst_citation","wst_citation",1,NA,"text","text","WEATHER","WEATHER_METADATA","GENERAL",NA,5001,"2014-03-17, chp",NA,NA,NA
"weather_license","character","","","","","License associated with weather data","wst_license","wst_license",1,NA,"text","text","WEATHER","WEATHER_METADATA","GENERAL",NA,5001,"2014-03-17, chp",NA,NA,NA
"weather_sta_reference","character","","","","","URL, DOI or other link to description of weather station","wst_ref","wst_ref",12,NA,"text","text","WEATHER","WEATHER_METADATA","GENERAL",NA,NA,NA,NA,NA,NA
"researcher_last_name","character","","","","","Last name of researchers involved with the experiment(s) or data","LAST_NAME","LAST_NAME",2,NA,"text","text","WEATHER","WEATHER_METADATA","PERSONS",NA,5011,NA,".",NA,NA
"researcher_first_name","character","","","","","First name of researchers involved with the experiment(s) or data","FIRST_NAME","FIRST_NAME",3,NA,"text","text","WEATHER","WEATHER_METADATA","PERSONS",NA,5011,NA,NA,NA,NA
"researcher_name_mi","character","","","","","Middle initial of researchers involved with the experiment(s) or data","MID_INITIAL","MID_INITIAL",4,NA,"text","text","WEATHER","WEATHER_METADATA","PERSONS",NA,5011,NA,NA,NA,NA
"researcher_role","character","","pp_role","","","Role of researcher in experiment or dataset preparation","PP_ROLE","PP_ROLE",5,NA,"code","text","WEATHER","WEATHER_METADATA","PERSONS",NA,5011,NA,NA,NA,NA
"researcher_address",NA,"","","","","Mailing address of researcher","WST_ADDRESS","WST_ADDRESS",4,NA,NA,NA,"WEATHER","WEATHER_METADATA","PERSONS",NA,5011,"2014-03-14, chp",NA,NA,NA
"institute_ID_person","numeric","","","","","Links to institutions","IN","INP",6,NA,NA,"single","WEATHER","WEATHER_METADATA","PERSONS",NA,5011,NA,NA,NA,NA
"e_mail_address","character","","","","","E-mail address of researcher","WST_EMAIL","WST_EMAIL",7,NA,"text","text","WEATHER","WEATHER_METADATA","PERSONS",NA,5011,NA,NA,NA,NA
"institute_ID","numeric","","","","","id","IN","IN",1,1,NA,"single","WEATHER","WEATHER_METADATA","INSTITUTIONS",NA,5012,NA,NA,NA,NA
"institute_name","character","","","","","Names of participating institute","INST_NAME","INST_NAME",2,NA,"text","text","WEATHER","WEATHER_METADATA","INSTITUTIONS",NA,5012,NA,NA,NA,NA
"institute_type","character","","in_type","","","Type of participating institutions","IN_TYPE","IN_TYPE",3,NA,"code","single","WEATHER","WEATHER_METADATA","INSTITUTIONS",NA,5012,NA,NA,NA,NA
"institute_role","character","","in_role","","","Role of participating institutions","IN_ROLE","IN_ROLE",4,NA,"code","single","WEATHER","WEATHER_METADATA","INSTITUTIONS",NA,5012,NA,NA,NA,NA
"document_ID_wst","numeric","","","","","id","DOC_ID_WST","DOC_ID_WST",1,1,NA,"single","WEATHER","WEATHER_METADATA","DOCUMENTS",NA,5013,"2013-04-18, CHP",NA,NA,NA
"document_name_wst","character","","","","","Document name in abbreviated form","DOCUMENT_WST","DOCUMENT_WST",2,NA,"text","memo","WEATHER","WEATHER_METADATA","DOCUMENTS",NA,5013,"2013-04-18, CHP",NA,NA,NA
"digital_object_identifier_wst","character","","","","","Digital_object_identifier according to international standard","DIGITAL_OBJ_ID_WST","DIGITAL_OBJ_ID_WST",3,NA,"text","memo","WEATHER","WEATHER_METADATA","DOCUMENTS",NA,5013,"2013-04-18, CHP",NA,NA,NA
"weather_id","numeric","","","","","unique id to link to weather data","WID","WID",0,1,"number","single","WEATHER","WEATHER_STATION","STATION_METADATA",NA,5041,NA,NA,NA,NA
"weather_station_id","character","","","","","Weather station identifier to link to site information","WST_ID","WST_ID",1,NA,"text","text","WEATHER","WEATHER_STATION","STATION_METADATA",NA,5041,NA,"WST_ID","WTH META",6001
